Date,Open,High,Low,Close,Adj Close,Volume
05-04-2022,178500,180000,177000,179000,160316.125,426072
06-04-2022,177000,182000,176500,180000,161211.7656,641803
07-04-2022,180000,182000,178500,178500,159868.2969,778374
08-04-2022,178000,179000,175500,176500,158077.0781,458780
11-04-2022,176000,181000,175500,179500,160763.9219,641674
12-04-2022,179000,180500,176500,178000,159420.5,626266
13-04-2022,179500,181000,178500,181000,162107.3438,498547
14-04-2022,181000,182000,176500,177500,158972.6875,898024
15-04-2022,176500,178000,175500,177000,158524.875,559522
18-04-2022,176000,178500,175500,178500,159868.2969,275773
19-04-2022,178500,181500,178000,181000,162107.3438,623880
20-04-2022,181000,184000,180000,183000,163898.6094,814107
21-04-2022,184000,184500,182500,183000,163898.6094,657116
22-04-2022,181500,182500,179000,180000,161211.7656,852781
25-04-2022,177000,184500,176500,182000,163002.9688,1504197
26-04-2022,187000,191000,186500,187000,167481.0625,2313611
27-04-2022,184000,188500,183000,187000,167481.0625,1152068
28-04-2022,188000,189000,186000,188500,168824.5156,705457
29-04-2022,187000,188000,184000,186000,166585.4844,767005
02-05-2022,184000,188000,184000,187000,167481.0625,496083
03-05-2022,185500,186500,182500,183500,164346.4219,662535
04-05-2022,183500,184500,182000,184000,164794.2188,347996
06-05-2022,181500,183500,181000,182500,163450.7813,375723
10-05-2022,180500,181500,176000,180500,161659.5469,774377
11-05-2022,178500,184500,178000,183000,163898.6094,724251
12-05-2022,181000,183500,180000,180500,161659.5469,691192
13-05-2022,182000,187000,181500,186500,167033.2813,924029
16-05-2022,188500,189500,183500,184000,164794.2188,548683
17-05-2022,185500,186500,182500,185500,166137.6406,530263
18-05-2022,187000,187500,183500,185500,166137.6406,541137
19-05-2022,181500,183500,181000,182000,163002.9688,542030
20-05-2022,183500,186500,183000,186500,167033.2813,469517
23-05-2022,188500,189000,186500,188000,168376.7188,436270
24-05-2022,187000,188000,183500,185000,165689.8438,431231
25-05-2022,186000,186000,182000,183500,164346.4219,482136
26-05-2022,183500,186000,183000,184000,164794.2188,428541
27-05-2022,186500,186500,184500,185500,166137.6406,334939
30-05-2022,187500,188000,185500,187500,167928.8906,368902
31-05-2022,187000,189500,187000,189500,169720.1406,916327
02-06-2022,189000,189000,186500,187500,167928.8906,387758
03-06-2022,188500,189000,185000,187000,167481.0625,400003
07-06-2022,186000,186500,183000,183500,164346.4219,621262
08-06-2022,183500,185000,182000,183000,163898.6094,556940
09-06-2022,183000,183500,180500,182500,163450.7813,656175
10-06-2022,181500,185000,180500,184500,165242.0156,571131
13-06-2022,180000,181500,173000,175000,156733.625,1193167
14-06-2022,171500,172500,169000,171500,153598.9688,1122467
15-06-2022,173500,179000,171500,174000,155838.0313,995832
16-06-2022,177000,177500,172500,173000,154942.3906,619047
17-06-2022,168000,172000,168000,170000,152255.5156,784685
20-06-2022,172500,173000,168500,170500,152703.3281,518566
21-06-2022,171500,175000,170000,172500,154494.5625,532008
22-06-2022,174500,175000,171000,171500,153598.9688,633838
23-06-2022,171500,174000,170000,171000,153151.1563,807430
24-06-2022,170500,175000,170500,173000,154942.3906,472975
27-06-2022,177000,185000,176500,183000,163898.6094,1348957
28-06-2022,183500,189000,183500,186000,166585.4844,1021549
